,country,description,designation,points,price,province,region_1,region_2,variety,winery,Red?,Wine_Bins
3302,US,"This charming Sauvignon Blanc smells sweetly of fresh pears and honeydew with a sprinkling of powdered sugar. Full bodied but dry with concentrated white grapefruit flavors, its brightened by a nervy acidity and a refreshing minerality in the midpalate.",*Unknown Wine*,85,20.0,New York,Finger Lakes,Finger Lakes,Sauvignon Blanc,Damiani,False,Premium: $15-20
3303,Italy,"This pretty expression of Primitivo opens with ripe fruit aromas of prune and blackberry, plus notes of sweet spice and moist pipe tobacco. There's a soft, chewy feeling on the palate, followed by bold fruit flavors.",*Unknown Wine*,88,20.0,Southern Italy,Primitivo di Manduria,Primitivo di Manduria,Primitivo,Felline,True,Premium: $15-20
3304,Italy,"Green apple, Bartlett pear, and nectarine sensations are brightened by lively acidity. Sip this an apéritif or pair it with appetizers or grilled vegetables.",*Unknown Wine*,86,20.0,Northeastern Italy,Colli Orientali del Friuli,Colli Orientali del Friuli,Pinot Grigio,Torre Rosazza,False,Premium: $15-20
3305,US,"Keep your eye on Lake County's Red Hills appellation for Cabernet Sauvignon, and on this up-and-coming vineyard. The ‘06 Shannon Ridge is rich and layerered, with a spicy edge to the red currant fruit flavors. Notable especially for its great acid-tannin balance.",Snows Lake Vineyard,87,20.0,California,Lake County,Mendocino/Lake Counties,Cabernet Sauvignon,Cartlidge & Browne,True,Premium: $15-20
3307,Germany,"Imbued with an almost smoky mineral essence, this wine is moderately sweet, but balanced by crisp acids. Melon and pineapple flavors take over on the palate, but the minerality comes back to the fore on the finish.",Oberemmeler Hütte Spätlese,89,20.0,Mosel-Saar-Ruwer,Mosel-Saar-Ruwer,Mosel-Saar-Ruwer,Riesling,Von Hövel,False,Premium: $15-20
3315,France,"This is herbaceous, but it also has a ripe yellow-fruit character. It is fresh and crisp, with a great depth of flavor. Its bright acidity and tight-textured finish make this a food wine.",Comtesse de Ségur,88,20.0,Southwest France,Montravel,Montravel,Bordeaux-style White Blend,Château Laulerie,False,Premium: $15-20
3308,New Zealand,"A well-extracted Pinot, with a dark color and relatively full mouthfeel, this is a step up from Matua's regular Pinot Noir offering. Plum fruit is garnished by vaguely floral notes as well as some vanilla and dried spices. It's supple and easy on the finish, so there's no point in waiting to drink this one.",Estate Series,87,20.0,Marlborough,Marlborough,Marlborough,Pinot Noir,Matua Valley,True,Premium: $15-20
3309,US,"Gets the job done with its rich tannins, crisp acids and solid blackberry, mocha and orange zest flavors. Easy to drink, and ready now. Production was 1,685 cases.",*Unknown Wine*,86,20.0,California,Monterey,Central Coast,Syrah,Morgan,True,Premium: $15-20
3310,US,"With grapes from both the cool east and warm west part of the county, this attractive Syrah shows ripe, plum, boysenberry and blackberry fruit backed up with firm acids and tannins. It's very dry, and drinks well now with steak or lamb.",*Unknown Wine*,87,20.0,California,Santa Barbara County,Central Coast,Syrah,Lincourt,True,Premium: $15-20
3311,US,"This Chardonnay and Pinot Noir blend smells sweetly of caramel apples and cider. Dry, but rich on the palate with notes of sweet vanilla and caramel, its simple and straightforward but offers a nice, stony finish.",Blanc de Blanc,86,20.0,New York,North Fork of Long Island,Long Island,Sparkling Blend,Martha Clara,True,Premium: $15-20
3312,US,"Pretty much a successful repeat of the winery's '09. It's dry and high in acidity, giving it a zesty, clean mouthfeel. The flavors are refreshing, of citrus fruits, pears, vanilla and white pepper. A compelling and beautiful cocktail-style wine.",Paragon Vineyard,90,20.0,California,Edna Valley,Central Coast,Grüner Veltliner,Zocker,True,Premium: $15-20
3313,US,"This is a new brand from veteran Don Sebastiani & Sons, and it's a a bottle of easy-drinking deliciousness. Mellow and smooth, it shows cherry pie, sandalwood and white pepper flavors.",Sonoma Signature,88,20.0,California,Sonoma Coast,Sonoma,Pinot Noir,Don & Sons,True,Premium: $15-20
3314,US,"The vineyard, planted in 2003, is located on the Oregon side of the Columbia River. The young vines bring bright, effusive fruit flavors of raspberries and strawberry pastry, black cherries and plums. Aromatically there are whiffs of violets and spun sugar. All in all a most inviting, fruit-driven Malbec.",*Unknown Wine*,90,20.0,Washington,Columbia Valley (WA),Columbia Valley,Malbec,Cor Cellars,True,Premium: $15-20
3336,Spain,"Starts with aromas of clove, Band-Aid and other spicy aromas. It has a minor herbal essence both on the nose and palate, which is typical of Spanish Cabernet. But the feel is good and chewy, while the oak is moderate as it supports raspberry and dry cherry flavors. Features 15% Tempranillo; drink now.",Gran Coronas Reserva,87,20.0,Catalonia,Penedès,Penedès,Cabernet Sauvignon,Torres,True,Premium: $15-20
3338,US,"Soft and somewhat rustic, this is a flavorful Pinot Noir, with herb, earth, citrusy acids, leather and quite tart cherry fruit. It would not fit into a textbook definition of classic varietal flavor, but it feels handmade, and it is light years beyond much of the corporate plonk being labeled Pinot Noir these days.",*Unknown Wine*,86,20.0,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Winter's Hill,True,Premium: $15-20
3219,US,"Not much reserve going on with this soft, boring Chardonnay. It's dry and heavy in pineapple and lime pulp flavors.",Reserve,82,20.0,California,Edna Valley,Central Coast,Chardonnay,Norman,False,Premium: $15-20
3367,Italy,"Cherry, spice, red apple, cured meat and bacon all play supporting roles in this vibrant ripasso. But the true protagonist here is cherry, which comes through loud and clear on the nose and in the mouth. You'll also enjoy the wine's soft texture. Imported by Martin Scott Wines.",Podere Bertarole,88,20.0,Veneto,Valpolicella Superiore Ripasso,Valpolicella Superiore Ripasso,"Corvina, Rondinella, Molinara",Corteforte,True,Premium: $15-20
3360,US,"Just shows you don't need a super high score to have a super drinkable wine with steak, pork, veal, chicken, or just a simple burger. Blended from Syrah, Cabernet Sauvignon, Petit Verdot, Merlot and Malbec, all of them great varieties, the wine is dry, sophisticated and rich in berry and currant flavors.",Big Guy,88,20.0,California,California,California Other,Red Blend,Big Guy,True,Premium: $15-20
3361,US,"Notable for its dryness, crispness of acidity and the brightness of the citrus fruit and honeysuckle flavors. Could be Sauvignon Blanc or Pinot Grigio, but whatever, it's a very nice, clean white wine.",Randle Hill Vineyard,86,20.0,California,Yorkville Highlands,North Coast,Sémillon,Yorkville Cellars,False,Premium: $15-20
3362,US,"A little tough and gritty in the mouth, but the flavors are rich, and the wine finishes long and spicy. Underneath the edgy tannins is plenty of black cherry, currant and plum fruit. Drink now.",*Unknown Wine*,87,20.0,California,Napa Valley,Napa,Merlot,Magness,True,Premium: $15-20
3363,Italy,"Cherry and vanilla are this ripasso's most prominent aromas but if you dig deep you will uncover Spanish cedar, blueberry tart, maple syrup and Indian spice. The wine has a bright personality and offers loads of ripe fruit in the mouth. Imported by Solstars Inc.",*Unknown Wine*,88,20.0,Veneto,Valpolicella Ripasso Valpantena Superiore,Valpolicella Ripasso Valpantena Superiore,"Corvina, Rondinella, Molinara",Tezza,True,Premium: $15-20
3364,Italy,"Fragrant, fresh and very typical of the Moscato aromatic variety, this is an approachable sweet wine in a round, squat bottle that would look pretty on any dinner table. Aromas include white flower and stone fruit, and the texture is light and clean. Pair it with fruit salad or almond cookies.",Moscato Giallo,85,20.0,Northeastern Italy,Trentino,Trentino,Moscato,Gaierhof,False,Premium: $15-20
3365,Argentina,"Deep purple in color and fierce on the nose; there's no shortage of piercing French oak aromas to send this one on its way. But once it settles, the oak supports classy blackberry, boysenberry and peppery flavors along with a structured, dense mouthfeel.",Gran Reserva,89,20.0,Mendoza Province,Mendoza,Mendoza,Malbec,Sur de los Andes,True,Premium: $15-20
3366,Germany,"A muscular, off-dry Riesling, marked by aromas of slate, melon and spice and flavors that include hints of anise and diesel oil. Although not marked as such, it seems halbtrocken in style, with just enough sugar to cushion the crisp acidity. Drink now.",Pure,89,20.0,Rheingau,Rheingau,Rheingau,Riesling,Wegeler,False,Premium: $15-20
3368,Italy,"Tezza's ripasso is woven tight with cherry, blackberry, exotic spice, root beer, barbecue sauce and liquid smoke. The wine spends 18 months in oak to achieve density and lingering softness or sweetness on its finish. Imported by Haw River Wine Man.",Tezza,89,20.0,Veneto,Valpolicella Ripasso Valpantena Superiore,Valpolicella Ripasso Valpantena Superiore,"Corvina, Rondinella, Molinara",Tezza,True,Premium: $15-20
3358,US,"Elegant aromas of red currant, cherry and pepper start this solid Cab from Idaho. On the palate, oak and fruit integration gives the wine a smooth, rich style. Unfolding and full of personality. Pair with steaks, burgers.",Bitner Vineyard,85,20.0,Idaho,Idaho,Idaho,Cabernet Sauvignon,Koenig Vineyards,True,Premium: $15-20
3369,Chile,"Peach, apple and pear aromas are smooth and easy to like. The mouthfeel is juicy and fresh, which Leyda Valley is known for, while the flavors of citrus, apple and nectarine come with acid-driven snap. As a whole, this is more fruity and focused than oaky and heavy.",Gran Reserva Cuvée,88,20.0,Leyda Valley,Leyda Valley,Leyda Valley,Chardonnay,Misiones de Rengo,False,Premium: $15-20
3370,Australia,"Like virtually all of the Kilikanoon wines, this is creamy-soft in texture, suggesting immediate drinkability. Black cherries predominate, but complexity is found in the wine's hints of mint, coffee, vanilla and baking spices. Two-thirds Shiraz, one-third Grenache. Drink now–2012.",Killerman's Run,89,20.0,South Australia,South Australia,South Australia,Shiraz-Grenache,Kilikanoon,True,Premium: $15-20
3371,Germany,"Despite being essentially an entry-level wine, this is not simple fruity-sweet Riesling. Instead, it offers aromas of slate, citrus and an almost fumé-like smoky character, mostly dry, minerally, stony flavors and a long, mouthwatering finish. Drink now–2012.",Butterfly Medium Dry,89,20.0,Mosel,Mosel,Mosel,Riesling,Zilliken,False,Premium: $15-20
3372,US,"David Hill's Pinot Noirs can be confusing—there is a regular Pinot, a Barrel Select Estate Pinot, an Estate Reserve Pinot and this Estate Pinot. Since 2007 was a light vintage, this may be a combination of the above; in any event it is nicely balanced, shows a lot of pine and spice and cola, with sharply defined acids and precise, crisp red fruits.",Estate,89,20.0,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,David Hill,True,Premium: $15-20
3373,US,"This is all Birch Creek vineyard, barrel fermented, 100% malo, about one third new wood, one third one year, the rest neutral. It's a soft, fleshy, buttery, California style, but nothing overblown. There's plenty of new oak flavor, good ripe fruit, and enough acid to support the yellow apple and melon fruit.",*Unknown Wine*,90,20.0,Washington,Walla Walla Valley (WA),Columbia Valley,Chardonnay,Rulo,False,Premium: $15-20
3374,US,"A blend of Syrah and Cabernet Sauvignon, this wine shows extremely ripe, jammy blackberry and cherry flavors, and also a soft, melted mouthfeel that makes it feel flat. A bit more structure might help.",Royal Red,84,20.0,California,Paso Robles,Central Coast,Red Blend,Eagle Castle,True,Premium: $15-20
3059,France,"From what used to be known as the Premières Côtes de Bordeaux, this Merlot-dominated wine offers soft fruits laced with acidity and gentle tannins. It is not a wine for aging.",*Unknown Wine*,86,20.0,Bordeaux,Côtes de Bordeaux,Côtes de Bordeaux,Bordeaux-style Red Blend,Château de Paillet-Quancard,True,Premium: $15-20
3359,US,"The fruit is soft and faded in this wine, which is otherwise soft-medium in body,. It's made by a longstanding producer of Petite Sirah and Cabernet Sauvignon.",Reserve,85,20.0,California,Livermore Valley,Central Coast,Grenache,Concannon,True,Premium: $15-20
3357,US,"The color is more brown than would be expected at this age, but flavors are still young, albeit candied. Red cherry and root beer aromas lead to sweet, tart cherry flavors.",*Unknown Wine*,81,20.0,New York,New York,New York Other,Pinot Noir,Millbrook,True,Premium: $15-20
3339,US,"The climate of New Mexico seems to suit the Viognier grape. Here it has given it a lovely, intense perfume of gardenia, orange blossom and guava. Though broad and soft in the mouth, enough acid comes through on the finish to save it from flabbiness. Serve as an apéritif.",Artist Series I,86,20.0,New Mexico,New Mexico,New Mexico,Viognier,La Chiripada,False,Premium: $15-20
3347,US,"A sound wine, dry and full-bodied, that can't quite shake off its country-cousin personality. With strong tannins and berry-cherry and herb flavors, all it needs is a rich cheeseburger to make it happy.",*Unknown Wine*,85,20.0,California,Yolo County,Central Valley,Syrah,Rominger West,True,Premium: $15-20
